listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
248140,Bright Studio - Soho - Central HK,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4e5463bc-38be-4a77-b9b0-fdf68f4eb526.jpg?aki_policy=medium,18,1300549,,"","",false,22.2823,114.1492,2,1,1,1.0,,"Elevator,Kitchen,Wifi,Dryer,Heating,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Long term stays allowed,Cleaning before checkout,Hot water kettle,Ceiling fan,Toaster,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Clothing storage,Wine glasses",,,3,Moderate,CNY,0,0,213,4.89,4.9,4.9,4.9,5.0,4.7,4.8,18548.0,134394.0,109.2,788.7,0.468,0.48,50.8,368.2,52.1,377.5,171,9,194,365,0.0,0.0,109.4,787.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",Entire rental unit,entire_home,https://z1.muscache.cn/im/pictures/miso/Hosting-274589/original/3e98bb96-2d09-44be-9233-dbb90dada3e9.jpeg?aki_policy=medium,49,1435069,,"","",true,22.2792,114.1700,4,2,3,1.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Hot water,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Cleaning products,Drying rack for clothing,Clothing storage",,,4,Strict,CNY,70,,301,4.77,4.8,4.9,4.8,4.9,4.7,4.6,8185.0,59005.0,150.3,1087.1,0.129,0.0,22.4,161.7,0.0,0.0,47,0,318,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
505456,GREEN NEST IN  SHEUNG WAN HEART,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6123969/bbf40f1f_original.jpg?aki_policy=medium,19,1189239,,"","",true,22.2854,114.1489,4,1,2,1.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Paid parking off premises,Free street parking,Smoke alarm,Carbon monoxide alarm,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Long term stays allowed,Hot water kettle,Dining table,Toaster,Shower gel,Conditioner,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,1,Strict,CNY,63,0,295,4.71,4.8,4.9,4.8,4.8,4.8,4.6,18978.0,137320.0,123.8,894.4,0.444,0.0,52.0,376.2,0.0,0.0,162,0,203,365,384.0,2766.0,134.0,965.7,0.033,0.0,4.3,30.7,0.0,0.0,3,0,87,90
792974,STUDIO with ROOF in HEART of SOHO,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/11258926/2bcc9706_original.jpg?aki_policy=medium,60,2172438,,"","",true,22.2804,114.1506,2,0,2,1.0,,"Kitchen,Wifi,Dryer,Heating,Dedicated workspace,Hangers,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Dishes and silverware,Cooking basics,Stove,Long term stays allowed,Cleaning before checkout,Hot water kettle,Mini fridge,Outdoor dining area,Sound system,Outdoor furniture,Rice maker,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,14,Strict,CNY,49,42,48,4.81,4.9,4.8,4.8,4.9,5.0,4.7,21177.0,153339.0,146.5,1058.7,0.384,0.453,58.0,420.1,68.5,496.2,140,56,225,365,0.0,0.0,140.2,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
849316,Causeway Bay Nr Times Sq: Full Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fb52f8df-26d0-4aa7-9902-9dc51ede6692.jpg?aki_policy=medium,16,4414395,,"","",true,22.2770,114.1820,3,1,1,1.0,,"Free parking on premises,Kitchen,Wifi,Dryer,Cable TV,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Outlet covers,Children’s books and toys,Window guards,Room-darkening shades,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Luggage dropoff allowed,Cleaning products",,,1,Flexible,CNY,0,0,109,4.55,4.6,4.8,4.5,4.8,4.9,4.5,12563.0,90766.0,119.6,863.9,0.31,0.328,34.4,248.7,36.4,263.1,113,20,252,365,0.0,0.0,133.5,961.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
944283,Private 2 Bedrooms flat in Heart of Central-SOHO,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/21e9a6d7-394a-49ef-a59e-2a8bd5220440.jpg?aki_policy=medium,23,5100812,,"","",false,22.2850,114.1540,3,2,2,1.0,,"Kitchen,Wifi,Dryer,Cable TV,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Long term stays allowed,Dining table,Freezer,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,3,Strict,CNY,130,0,94,4.66,4.7,4.8,4.7,4.8,4.9,4.6,36065.0,260954.0,154.5,1116.2,0.625,0.71,98.8,714.9,112.4,812.9,228,44,137,365,2585.0,18624.0,147.0,1059.1,0.189,0.309,28.7,206.9,47.0,338.6,17,35,73,90
957513,"Hollywood Rd, Spacious and Sunny",Entire condo,entire_home,https://z1.muscache.cn/im/pictures/14454802/547c7099_original.jpg?aki_policy=medium,14,5207666,,"","",false,22.2853,114.1474,2,1,1,1.0,,"Kitchen,Wifi,Dryer,Heating,Washer,Essentials,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Hot water,Refrigerator,Dishes and silverware",,,2,Moderate,CNY,0,,43,4.6,4.7,4.8,4.5,4.8,4.7,4.6,9109.0,65801.0,124.3,898.5,0.197,0.0,25.0,180.3,0.0,0.0,72,0,293,365,0.0,0.0,121.9,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
992390,Bright quiet studio in Hong Kong Central district,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15015324/ceb6f4ec_original.jpg?aki_policy=medium,13,5181284,,"","",true,22.2827,114.1531,3,0,2,1.0,,"Kitchen,Wifi,Dryer,Heating,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Crib,Hot water,Coffee maker,Refrigerator,Dishes and silverware",,,6,Strict,CNY,32,12,173,4.58,4.7,4.8,4.5,4.8,4.9,4.5,8020.0,58045.0,87.3,631.1,0.247,0.0,22.0,159.0,0.0,0.0,90,0,275,365,0.0,0.0,86.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1165573,Mid-level 1br/1ba by escalator,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b62c8081-10d9-4f86-8e24-566e10b09b09.jpg?aki_policy=medium,34,4258815,,"","",true,22.2812,114.1514,2,1,1,1.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Bathtub,Hot water,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Long term stays allowed,Sound system,Shower gel,Conditioner,Drying rack for clothing,Clothing storage",,,2,Moderate,CNY,30,5,181,4.62,4.7,4.8,4.4,4.8,4.7,4.5,17175.0,124120.0,127.4,920.6,0.37,0.592,47.1,340.1,75.3,544.4,135,137,230,365,0.0,0.0,128.1,922.8,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
3021624,Wanchai cozy 3BR+2Bath for 5 (Heart of HK),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5e0a5aef-6bd8-403f-982e-d9a289eb4d5a.jpg?aki_policy=medium,34,15397373,,"","",true,22.2789,114.1764,5,3,4,2.0,,"Elevator,Kitchen,Wifi,Dryer,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,Room-darkening shades,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Luggage dropoff allowed,Long term stays allowed,Hot water kettle,Dining table,Toaster,Freezer,Rice maker,Shower gel,Conditioner,Drying rack for clothing,Clothing storage,Wine glasses",,,3,Moderate,CNY,48,0,230,4.77,4.8,4.8,4.7,4.9,4.8,4.7,35442.0,256532.0,168.3,1216.1,0.581,0.777,97.1,702.8,129.8,939.7,212,92,153,365,1237.0,8913.0,176.8,1273.5,0.078,0.184,13.7,99.0,32.6,234.6,7,52,83,90
