listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
645404,Creative Residence in Kowloon . WM (Monthly),Shared room,shared_room,https://a0.muscache.com/im/pictures/94016828/44935f01_original.jpg,20,634820,Wontonmeen,"","",true,22.3253,114.1643,,,1,2.5,false,"Wifi,Air conditioning,Smoking allowed,Hot water,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Refrigerator,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Shampoo,Hangers,Hair dryer,Iron",false,,1,Strict,CNY,0,0,220,4.68,4.6,4.8,4.6,4.7,4.7,4.7,2511.0,18114.0,24.6,177.5,0.192,0.208,6.9,49.6,7.5,53.9,70,29,295,365,0.0,0.0,12.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0,26,90,90
646645,Creative Residence. Private Room (Monthly),Private room in hostel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-646645/original/ef8cb185-9adc-46c3-a23d-f5f3db0a8a00.jpeg,8,634820,Wontonmeen,"","",true,22.3253,114.1643,,,1,0.0,false,"Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Kitchen,Essentials,Shampoo,Smoking allowed,Hangers,Hair dryer,Hot water,Iron",false,,3,Strict,CNY,0,0,39,4.56,4.7,4.5,4.5,4.7,4.5,4.7,683.0,4915.0,40.4,291.8,0.055,0.061,1.9,13.5,2.1,15.0,20,37,345,365,0.0,0.0,21.5,155.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
728122,Twin bed room for budget travellers,Private room in rental unit,private_room,https://z1.muscache.cn/im/pictures/miso/Hosting-728122/original/be9c0ffe-28c7-4067-a6bf-2f03c58382b0.jpeg?aki_policy=medium,16,3784841,,"","",false,22.3181,114.1708,2,1,2,1.0,,"Elevator,Kitchen,Wifi,Dryer,Heating,Dedicated workspace,Hangers,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Hot water,Bed linens,Microwave,Refrigerator,Dishes and silverware,Luggage dropoff allowed,Long term stays allowed",,,28,Flexible,CNY,0,0,13,4.17,4.2,4.4,3.9,4.5,4.7,3.9,3256.0,23591.0,33.6,242.7,0.23,0.488,8.9,64.6,18.9,137.2,84,193,281,365,0.0,0.0,26.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
736732,1 min to ladies market 2 rooms fit 6 ppls,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9da8566c-2420-4072-bfd0-ea804e444e9e.jpg?aki_policy=medium,23,3800609,,"","",true,22.3203,114.1720,6,2,3,1.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Refrigerator,Dishes and silverware,Cooking basics,Hot water kettle,Dining table,Freezer,Shower gel,Cleaning products,Drying rack for clothing",,,1,,CNY,0,0,117,4.61,4.5,4.6,4.6,4.8,4.8,4.5,22275.0,161032.0,143.5,1037.0,0.433,0.436,61.0,441.2,61.5,444.8,158,3,207,365,0.0,0.0,145.2,1046.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
926138,Lovely home Mong Kok MTR Railway 4 beds,Entire rental unit,entire_home,https://z1.muscache.cn/im/pictures/96e8827b-604c-4322-a438-74abbd7c0143.jpg?aki_policy=medium,41,4971086,,"","",true,22.3230,114.1710,6,2,4,1.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Paid parking off premises,Free street parking,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bathtub,Baby bath,Window guards,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Luggage dropoff allowed,Long term stays allowed,Hot water kettle,Ceiling fan,Mini fridge,Dining table,Freezer,Rice maker,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,11,,CNY,31,0,454,4.76,4.8,4.8,4.8,4.8,4.8,4.7,35614.0,257517.0,169.0,1220.9,0.581,0.658,97.6,705.5,110.6,799.7,212,43,153,365,4233.0,30497.0,176.8,1273.4,0.267,0.333,47.0,338.9,58.8,423.6,24,18,66,90
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/04e344ac-499f-4382-9a99-02f2baa9bb91.jpg?aki_policy=medium,7,6361579,,"","",false,22.3159,114.1689,2,0,2,0.0,,"Elevator,Kitchen,Wifi,Dryer,Heating,Hangers,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Lock on bedroom door,Private entrance,Hot water,Luggage dropoff allowed,Long term stays allowed,Paid parking on premises",,,2,Strict,CNY,15,,120,4.52,4.7,4.8,4.7,4.8,4.9,4.7,1698.0,12256.0,48.6,350.9,0.093,0.094,4.7,33.6,4.7,33.8,34,2,331,365,0.0,0.0,45.2,325.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1704664,Modern 2BR Seaview apt with balcony/1min MTR,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1704664/original/6d7a8f08-ba76-48c1-b17f-011a410bb6da.jpeg?aki_policy=medium,13,3741579,,"","",false,22.3130,114.1700,5,2,1,2.0,,"TV,Wifi,Air conditioning,Kitchen,Elevator,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Dedicated workspace,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Patio or balcony,Long term stays allowed,Hot water kettle,Sound system,Dining table,Outdoor furniture,Freezer,Board games,Portable fans,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Wine glasses",,,5,,CNY,0,0,2,,,,,,,,52339.0,378482.0,279.5,2019.2,0.507,0.557,143.4,1036.9,157.6,1140.0,185,33,180,365,1490.0,10733.0,280.6,2021.9,0.056,0.062,16.6,119.3,18.6,134.2,5,10,85,90
2104151,City Centre Mong Kok  MTR Railway 3 beds,Entire condo,entire_home,https://a0.muscache.com/im/pictures/967d42c3-d608-425d-8c99-7313fd10b4db.jpg?aki_policy=medium,49,4971086,,"","",true,22.3220,114.1700,6,2,3,1.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bathtub,Window guards,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,EV charger,Single level home,Luggage dropoff allowed,Long term stays allowed,Hot water kettle,Ceiling fan,Safe,Dining table,Freezer,Rice maker,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,14,,CNY,25,0,408,4.84,4.8,4.8,4.8,4.9,4.8,4.8,39463.0,285421.0,164.6,1189.4,0.638,0.759,108.1,782.0,128.5,929.7,233,58,132,365,3951.0,28466.0,160.9,1159.0,0.267,0.338,43.9,316.3,55.6,400.9,24,19,66,90
2342794,Town Centre Mong Kok Mtr railway 4 beds+2 bath rms,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7ba65ea2-1640-4d08-83b7-3bf689faddff.jpg?aki_policy=medium,20,4971086,,"","",true,22.3220,114.1700,8,3,3,2.0,,"Elevator,Kitchen,Wifi,Dryer,Cable TV,Heating,Dedicated workspace,Hangers,Iron,Hair dryer,Washer,Essentials,Shampoo,TV,Air conditioning,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bathtub,Window guards,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Luggage dropoff allowed,Long term stays allowed,Hot water kettle,Ceiling fan,Mini fridge,Dining table,Freezer,Rice maker,Shower gel,Conditioner,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,14,,CNY,0,0,244,4.89,4.9,4.9,4.8,4.9,4.9,4.8,41560.0,300635.0,216.6,1564.6,0.542,0.683,113.9,823.7,143.3,1036.7,198,75,167,365,3658.0,26354.0,236.0,1700.4,0.167,0.294,40.6,292.8,71.7,516.7,15,39,75,90
2472517,2 BR Apt w/ Abundant Daylight (28 days or above),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/40346732/1e3123e5_original.jpg?aki_policy=medium,49,12326516,,"","",true,22.3134,114.1677,4,2,4,1.0,,"Kitchen,Wifi,Dryer,Cable TV,Heating,Hangers,Iron,Hair dryer,Washer,Essentials,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Baby bath,Window guards,Table corner guards,Crib,Pack ’n play/Travel crib,Hot water,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Long term stays allowed",,,28,Strict,CNY,39,,344,4.83,4.8,4.9,4.9,5.0,4.8,4.8,6893.0,49595.0,115.8,838.2,0.164,0.192,18.9,135.9,22.0,158.5,60,52,305,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
