listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
16545,Charming - Your Miami 2 BR Home !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/93502145/af5c2f45_original.jpg,39,64311,Ana Marilu,592207811,Gabriel,false,25.6838,-80.3985,5,2,4,2.5,true,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Portable fans,Hot water,Conditioner,Bed linens,Trash compactor,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",false,false,2,Moderate,USD,150,0,120,4.64,4.7,4.8,4.7,4.8,4.8,4.7,36991.0,36991.0,160.5,160.5,0.66,0.0,101.3,101.3,0.0,0.0,241,0,124,365,4193.0,4193.0,193.4,193.4,0.244,0.0,46.6,46.6,0.0,0.0,22,0,68,90
79760,Waterfront 2/2 Miami Beach Apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzk3NjA%3D/original/751c1509-a85e-45e5-963b-471299c7e870.jpeg,29,429973,Veronica,"","",true,25.7902,-80.1684,4,1,2,2.0,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Waterfront,Air conditioning,Lake access,Pool,Kitchen,Free parking on premises,Laundromat nearby,Private entrance,Heating",false,,,Strict,USD,50,0,23,4.73,5.0,5.0,4.9,5.0,5.0,4.8,9271.0,9271.0,661.5,661.5,0.036,0.052,25.4,25.4,37.2,37.2,13,116,352,365,9271.0,9271.0,650.3,650.3,0.144,0.419,103.0,103.0,299.1,299.1,13,59,77,90
222181,Cozy Family home with a pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-222181/original/c753a200-f1a7-405e-a135-798dc790e2be.jpeg,27,1153161,Mila,"","",false,25.8445,-80.1875,5,2,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Books and reading material,Ceiling fan,Record player,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Bathtub,Children’s books and toys,Hot water,Body soap,Bed linens,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Dining table,Toaster",false,false,4,Firm,USD,150,0,30,4.83,4.9,5.0,4.6,5.0,4.8,4.7,41000.0,41000.0,316.3,316.3,0.334,0.367,112.3,112.3,123.5,123.5,122,33,243,365,0.0,0.0,279.3,279.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
294368,"WELCOME TO PARADISE MIAMI, FLORIDA",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/13350491/0d2ff97f_original.jpg,31,1521854,Maria Luisa,"","",true,25.7611,-80.2033,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Ceiling fan,Conditioner,Outdoor furniture,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Toaster",false,false,3,Firm,USD,25,0,696,4.92,4.9,5.0,4.9,5.0,4.9,4.9,19661.0,19661.0,67.6,67.6,0.8,0.0,53.9,53.9,0.0,0.0,292,0,73,365,4477.0,4477.0,70.4,70.4,0.7,0.0,49.7,49.7,0.0,0.0,63,0,27,90
300366,JUST WHERE YOU WANT IT- EFFICIENCY,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/37639464/963cb81d_original.jpg,21,1521854,Maria Luisa,"","",true,25.7609,-80.2036,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,BBQ grill,Backyard,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",false,,90,Strict,USD,,,23,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4911.0,4911.0,53.9,53.9,0.252,0.0,13.5,13.5,0.0,0.0,92,0,273,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
343840,"THE LIBRARY ROOM MIAMI, FLORIDA",Private room in home,private_room,https://a0.muscache.com/im/pictures/15943173/94516db5_original.jpg,47,1521854,Maria Luisa,"","",true,25.7611,-80.2033,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Outdoor furniture,Dishes and silverware,Cooking basics,Washer,Dryer,Smoke alarm,BBQ grill,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",false,false,4,Firm,USD,25,0,509,4.9,5.0,4.9,4.9,5.0,4.9,4.9,16525.0,16525.0,66.7,66.7,0.685,0.689,45.3,45.3,45.5,45.5,250,2,115,365,2476.0,2476.0,69.4,69.4,0.389,0.398,27.5,27.5,28.1,28.1,35,2,55,90
346667,chic and cozy apt in great miami area near all!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-346667/original/46fd9b27-daad-4141-a6f5-631f59632dca.jpeg,39,1762510,Marisa,"","",true,25.7600,-80.2222,4,2,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Blender,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Backyard,Long term stays allowed,Dining table,Toaster",false,false,3,Moderate,USD,180,0,182,4.91,4.9,5.0,4.9,5.0,4.8,4.8,26630.0,26630.0,160.5,160.5,0.474,0.489,73.0,73.0,75.2,75.2,173,11,192,365,3432.0,3432.0,178.1,178.1,0.222,0.253,38.1,38.1,43.4,43.4,20,11,70,90
650708,Charming Coconut Grove Cottage,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/8454155/88ed2bc3_original.jpg,14,3268322,Michelle,"","",false,25.7241,-80.2502,2,1,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",false,,3,Moderate,USD,125,0,68,4.88,4.9,5.0,4.8,5.0,4.9,4.8,3034.0,3034.0,153.9,153.9,0.055,0.145,8.3,8.3,22.0,22.0,20,227,345,365,0.0,0.0,119.9,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0,61,90,90
688025,"Private accommodation in Miami, near FIU, UM.",Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-688025/original/649fff05-539e-486c-9431-590d2ee993d9.jpeg,115,3512229,Judith,"13733791,95603051","Sebastian,Paula Estefania",false,25.7138,-80.3735,4,2,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Pets allowed,Mini fridge,Free street parking,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Outlet covers,High chair,Blender,Window guards,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Toaster",false,false,31,Moderate,USD,,,120,4.43,4.6,4.7,4.5,4.6,4.4,4.5,24032.0,24032.0,136.2,136.2,0.463,0.599,65.8,65.8,85.2,85.2,169,83,196,365,535.0,535.0,125.7,125.7,0.044,0.089,5.9,5.9,11.9,11.9,4,45,86,90
864229,Lovely  and  good location Apt Mia,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/2ff79a61-ae8e-449f-b3ee-be5effc39ced.jpg,19,4534520,Joel,"","",true,25.7693,-80.2702,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Trash compactor,Laundromat nearby,Outdoor furniture,Hammock,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Window guards,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Single level home,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",false,false,2,Firm,USD,75,15,217,4.94,4.9,5.0,5.0,4.9,4.9,4.9,9844.0,9844.0,91.4,91.4,0.293,0.294,27.0,27.0,27.0,27.0,107,1,258,365,264.0,264.0,95.2,95.2,0.033,0.0,2.9,2.9,0.0,0.0,3,0,87,90
