listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
27047,Studio in the heart of South Beach,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjcwNDc=/original/9a21cb9e-b885-4a95-bf2a-988ad6380250.jpeg,20,352230,Andrea,"","",true,25.7786,-80.1347,2,,3,1.0,true,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Ceiling fan,Hot water,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",false,false,30,Firm,USD,0,0,56,4.55,4.8,4.5,4.4,5.0,4.8,4.6,18171.0,18171.0,88.2,88.2,0.545,0.729,49.8,49.8,66.6,66.6,199,92,166,365,285.0,285.0,77.3,77.3,0.044,0.133,3.2,3.2,9.5,9.5,4,60,86,90
73621,CasaGrandeSouthBeach 4 room Beachfront Building,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-73621/original/36153099-7fe3-4691-a606-efbb100c9623.jpeg,149,8643876,Ann & Lars,"","",true,25.7787,-80.1313,8,3,8,2.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Paid parking off premises,Portable fans,Pets allowed,Gym,Resort access,Conditioner,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Kayak,Hair dryer,Iron,Theme room,Dedicated workspace,Freezer,Private entrance,Sound system,Baby monitor,Rice maker,Outlet covers,Bathtub,Baby bath,Changing table,High chair,Baby safety gates,Children’s books and toys,Blender,Window guards,Table corner guards,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Game console,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Exercise equipment,Shower gel,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Outdoor playground,Baking sheet,Sun loungers,Toaster",false,false,2,Strict,USD,270,0,119,4.72,4.7,4.8,4.8,4.9,5.0,4.7,69794.0,69794.0,768.4,768.4,0.249,0.252,191.2,191.2,193.3,193.3,91,4,274,365,8609.0,8609.0,609.4,609.4,0.156,0.0,95.7,95.7,0.0,0.0,14,0,76,90
130905,Luxury Beachfront Condo on South Beach,Entire condo,entire_home,https://a0.muscache.com/im/pictures/53c044c9-c803-4fa3-b62e-9a18d96f6299.jpg,76,644152,Jeremy,"","",false,25.7978,-80.1246,5,1,2,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Gym,Resort access,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Bathtub,Children’s books and toys,Blender,Window guards,Room-darkening shades,Bikes,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Exercise equipment,Shower gel,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Safe,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,,30,Moderate,USD,125,0,118,4.75,4.8,4.7,4.6,4.9,4.8,4.8,7209.0,7209.0,232.0,232.0,0.088,0.144,19.8,19.8,32.5,32.5,32,143,333,365,1086.0,1086.0,198.7,198.7,0.056,0.06,12.1,12.1,12.9,12.9,5,6,85,90
186050,Beachfront- Direct Ocean View Condo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/45599688/714fba68_original.jpg,20,893572,Adrian And Deni,"","",false,25.8343,-80.1201,4,1,2,1.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Free parking on premises,Books and reading material,Pets allowed,Conditioner,Mini fridge,Elevator,Outdoor furniture,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Bathtub,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Backyard,Long term stays allowed,Dining table,Toaster",false,false,4,Moderate,USD,80,0,298,4.38,4.5,4.6,4.3,4.7,4.7,4.4,35906.0,35906.0,153.2,153.2,0.647,0.661,98.4,98.4,100.6,100.6,236,8,129,365,5251.0,5251.0,162.3,162.3,0.378,0.0,58.3,58.3,0.0,0.0,34,0,56,90
206580,Designer SoBe condo 1 blk to ocean,Entire condo,entire_home,https://a0.muscache.com/im/pictures/1944929/f14da4d0_original.jpg,33,911007,Irene,"","",true,25.7876,-80.1331,4,1,3,1.0,true,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Hangers,Hair dryer,Iron",false,false,5,Strict,USD,70,0,270,4.79,4.8,4.9,4.8,4.9,4.9,4.7,26761.0,26761.0,144.6,144.6,0.499,0.511,73.3,73.3,75.2,75.2,182,9,183,365,4655.0,4655.0,122.0,122.0,0.422,0.427,51.7,51.7,52.3,52.3,38,1,52,90
227402,2br/2ba/2story loft on Miami Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1a21998f-a8ad-4e75-a46f-8c19de8533b2.jpg?aki_policy=medium,35,1169570,,"","",false,25.8346,-80.1215,6,2,2,2.0,,"Free parking on premises,Elevator,Kitchen,Wifi,Gym,Cable TV,Iron,Hair dryer,Dryer,Hangers,TV,Washer,Shampoo,Essentials,Heating,Air conditioning,Smoke alarm,Carbon monoxide alarm,Private entrance,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Waterfront",,,2,Strict,USD,,,362,4.68,4.8,4.8,4.8,4.9,4.8,4.7,4903.0,4903.0,246.5,246.5,0.068,0.071,13.4,13.4,13.9,13.9,25,12,340,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
228055,Oceanfront Studio with a Private Balcony,Entire condo,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/12729254/d532b849_original.jpg,30,1169570,Peter,"","",false,25.8335,-80.1196,3,,1,1.0,true,"TV,Cable TV,Wifi,Air conditioning,Free parking on premises,Hot water,Gym,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Washer,Dryer,Beach access,Smoke alarm,Patio or balcony,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance",,,2,Strict,USD,,,422,4.79,4.9,4.9,4.8,4.9,4.8,4.8,6004.0,6004.0,203.5,203.5,0.101,0.0,16.4,16.4,0.0,0.0,37,0,328,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
232005,Your Art Deco retreat one block from the beach!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-232005/original/46adb3d4-3cf4-4f95-9cb0-6f2513cf4869.jpeg,24,1213543,Marla,"","",true,25.8064,-80.1246,6,2,5,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Ceiling fan,Conditioner,Elevator,Free street parking,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Blender,Babysitter recommendations,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Shower gel,Beach essentials,Long term stays allowed,Dining table,Baking sheet,Toaster",false,,1,Moderate,USD,150,0,37,4.64,4.6,4.8,4.5,4.8,4.7,4.5,32322.0,32322.0,396.6,396.6,0.227,0.255,88.6,88.6,99.5,99.5,83,40,282,365,4385.0,4385.0,341.6,341.6,0.144,0.0,48.7,48.7,0.0,0.0,13,0,77,90
235946,Ocean View Studio Unit wParking 703,Private room in condo,private_room,https://a0.muscache.com/im/pictures/a5dbc872-6c0b-4b41-8f4d-a4fc4b460f44.jpg,24,1236691,Luis,"","",false,25.8349,-80.1195,4,1,2,1.0,true,"TV,Washer,Cable TV,Dryer,Beach access,Air conditioning,Pool,Free parking on premises,Gym,Elevator",false,false,1,Moderate,USD,75,0,45,4.36,4.4,4.3,4.3,4.5,4.7,4.3,27643.0,27643.0,148.0,148.0,0.499,0.593,75.7,75.7,90.0,90.0,182,58,183,365,2385.0,2385.0,122.4,122.4,0.2,0.316,26.5,26.5,41.8,41.8,18,33,72,90
271596,Two Full Bed at Normans Hotel Room in Collins Ave,Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-271596/original/64a00698-5520-4271-b04d-130067d96150.jpeg,9,1421303,Norman'S,"","",false,25.8519,-80.1204,4,1,2,1.0,false,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Waterfront,Air conditioning,Crib,Paid parking off premises,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Heating,Clothing storage,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,,1,Moderate,USD,38,0,120,4.26,4.4,4.6,4.2,4.3,4.7,4.4,5506.0,5506.0,143.5,143.5,0.11,0.124,15.1,15.1,17.1,17.1,40,43,325,365,1339.0,1339.0,136.4,136.4,0.1,0.0,14.9,14.9,0.0,0.0,9,0,81,90
