listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
845331029643398999,2024-11-01,4,26,0.867,2910.0,111.7,111.9,79,4,,797.0,796.0,20727.0
845331029643398999,2024-12-01,12,19,0.613,2198.0,116.6,115.7,33,3,3,838.0,844.0,15917.0
845331029643398999,2025-01-01,13,18,0.581,2033.0,112.8,112.9,13,6,3,824.0,823.0,14839.0
845331029643398999,2025-02-01,1,27,0.964,2976.0,110.1,110.2,14,29,3,792.0,791.0,21388.0
845331029643398999,2025-03-01,1,30,0.968,3318.0,110.6,110.6,50,29,3,806.0,806.0,24168.0
845331029643398999,2025-04-01,27,3,0.1,319.0,100.7,106.3,,,3,773.0,732.0,2319.0
845331029643398999,2025-05-01,31,0,0.0,0.0,105.8,,,,3,,769.0,0.0
845331029643398999,2025-06-01,29,1,0.033,120.0,124.9,120.0,34,1,3,865.0,900.0,865.0
845331029643398999,2025-07-01,31,0,0.0,0.0,112.7,,,,3,,812.0,0.0
845331029643398999,2025-08-01,31,0,0.0,0.0,107.6,,,,3,,775.0,0.0
845331029643398999,2025-09-01,30,0,0.0,0.0,110.0,,,,3,,792.0,0.0
845331029643398999,2025-10-01,28,3,0.097,331.0,112.5,110.3,163,1,3,795.0,810.0,2385.0
274589,2024-11-01,14,16,0.533,2726.0,170.3,170.4,121,2,,1214.0,1213.0,19416.0
274589,2024-12-01,6,25,0.806,4542.0,183.7,181.7,122,5,21,1316.0,1330.0,32892.0
274589,2025-01-01,25,6,0.194,917.0,154.3,152.8,118,2,20,1115.0,1126.0,6693.0
274589,2025-02-01,28,0,0.0,0.0,163.1,,,,23,,1172.0,0.0
274589,2025-03-01,31,0,0.0,0.0,128.3,,,,28,,935.0,0.0
274589,2025-04-01,30,0,0.0,0.0,119.7,,,,28,,870.0,0.0
274589,2025-05-01,31,0,0.0,0.0,134.9,,,,28,,981.0,0.0
795233889181770361,2024-11-01,28,2,0.067,82.0,41.1,41.0,105,1,,292.0,293.0,584.0
795233889181770361,2024-12-01,31,0,0.0,0.0,42.3,,,,30,,306.0,0.0
795233889181770361,2025-01-01,27,4,0.129,171.0,43.3,42.8,1,7,30,312.0,316.0,1248.0
795233889181770361,2025-02-01,23,5,0.179,213.0,40.7,42.6,1,2,30,306.0,293.0,1531.0
795233889181770361,2025-03-01,31,0,0.0,0.0,41.8,,,,30,,304.0,0.0
795233889181770361,2025-04-01,27,3,0.1,104.0,37.0,34.7,1,3,30,252.0,269.0,756.0
795233889181770361,2025-05-01,20,11,0.355,371.0,34.9,33.7,15,5,8,245.0,254.0,2698.0
795233889181770361,2025-06-01,30,0,0.0,0.0,39.3,,,,5,,283.0,0.0
795233889181770361,2025-07-01,31,0,0.0,0.0,41.6,,,,5,,300.0,0.0
795233889181770361,2025-08-01,31,0,0.0,0.0,46.2,,,,5,,333.0,0.0
795233889181770361,2025-09-01,30,0,0.0,0.0,56.9,,,,5,,410.0,0.0
795233889181770361,2025-10-01,31,0,0.0,0.0,46.9,,,,5,,338.0,0.0
795453051068455205,2024-11-01,2,28,0.933,969.0,34.7,34.6,2,29,,246.0,247.0,6902.0
795453051068455205,2024-12-01,16,15,0.484,602.0,40.7,40.1,,,30,290.0,295.0,4360.0
795453051068455205,2025-01-01,31,0,0.0,0.0,44.5,,,,30,,325.0,0.0
795453051068455205,2025-02-01,28,0,0.0,0.0,39.5,,,,30,,284.0,0.0
795453051068455205,2025-03-01,31,0,0.0,0.0,33.7,,,,30,,245.0,0.0
795453051068455205,2025-04-01,30,0,0.0,0.0,41.0,,,,29,,298.0,0.0
795453051068455205,2025-05-01,31,0,0.0,0.0,40.4,,,,28,,294.0,0.0
795453051068455205,2025-06-01,30,0,0.0,0.0,38.0,,,,28,,274.0,0.0
795453051068455205,2025-07-01,31,0,0.0,0.0,37.0,,,,28,,267.0,0.0
