listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
2472517,2024-11-01,4,26,0.867,2986.0,114.1,114.8,94,3,,818.0,813.0,21268.0
2472517,2024-12-01,13,18,0.581,2006.0,110.3,111.4,96,2,2,807.0,799.0,14527.0
2472517,2025-01-01,31,0,0.0,0.0,105.0,,,,1,,766.0,0.0
2472517,2025-02-01,25,3,0.107,333.0,107.9,111.0,70,3,1,798.0,775.0,2393.0
2472517,2025-03-01,26,5,0.161,595.0,116.5,119.0,130,5,2,867.0,849.0,4334.0
2472517,2025-04-01,22,8,0.267,973.0,124.0,121.6,226,3,2,884.0,902.0,7074.0
2472517,2025-05-01,31,0,0.0,0.0,129.8,,,,2,,944.0,0.0
3043288,2024-11-01,23,7,0.233,2012.0,292.6,287.4,19,5,,2047.0,2084.0,14331.0
3043288,2024-12-01,14,17,0.548,5004.0,294.6,294.4,53,2,2,2132.0,2133.0,36237.0
3043288,2025-01-01,13,18,0.581,5118.0,282.9,284.3,34,5,2,2075.0,2065.0,37357.0
3043288,2025-02-01,26,2,0.071,567.0,281.2,283.5,14,2,2,2037.0,2021.0,4075.0
3043288,2025-03-01,31,0,0.0,0.0,261.4,,,,2,,1904.0,0.0
3043288,2025-04-01,30,0,0.0,0.0,297.2,,,,2,,2161.0,0.0
3043288,2025-05-01,31,0,0.0,0.0,306.5,,,,2,,2229.0,0.0
3043288,2025-06-01,21,9,0.3,2121.0,238.8,235.7,37,2,2,1698.0,1720.0,15280.0
3043288,2025-07-01,26,5,0.161,1245.0,243.7,249.0,74,5,2,1794.0,1756.0,8969.0
3043288,2025-08-01,31,0,0.0,0.0,254.2,,,,2,,1831.0,0.0
3043288,2025-09-01,28,2,0.067,448.0,227.3,224.0,112,2,2,1614.0,1638.0,3228.0
3043288,2025-10-01,21,10,0.323,2434.0,245.2,243.4,156,5,2,1754.0,1766.0,17535.0
25396136,2024-11-01,12,18,0.6,1284.0,70.9,71.3,17,4,,508.0,505.0,9146.0
25396136,2024-12-01,19,12,0.387,842.0,86.0,70.2,8,7,2,508.0,623.0,6098.0
25396136,2025-01-01,20,11,0.355,768.0,71.4,69.8,3,4,2,509.0,521.0,5606.0
25396136,2025-02-01,17,11,0.393,721.0,66.5,65.5,6,5,2,471.0,478.0,5182.0
25396136,2025-03-01,9,22,0.71,1492.0,66.6,67.8,15,6,2,494.0,485.0,10867.0
25396136,2025-04-01,11,19,0.633,1238.0,64.8,65.2,19,3,2,474.0,471.0,9001.0
25396136,2025-05-01,24,7,0.226,600.0,76.5,85.7,3,2,2,623.0,556.0,4363.0
25396136,2025-06-01,30,0,0.0,0.0,67.8,,,,2,,488.0,0.0
25396136,2025-07-01,31,0,0.0,0.0,65.2,,,,2,,470.0,0.0
25396136,2025-08-01,31,0,0.0,0.0,70.0,,,,2,,504.0,0.0
25396136,2025-09-01,30,0,0.0,0.0,70.0,,,,2,,504.0,0.0
25396136,2025-10-01,31,0,0.0,0.0,69.9,,,,2,,504.0,0.0
8566331,2024-11-01,30,0,0.0,0.0,64.9,,,,,,462.0,0.0
8566331,2024-12-01,31,0,0.0,0.0,64.5,,,,,,467.0,0.0
8566331,2025-01-01,21,10,0.323,643.0,64.4,64.3,46,5,1,469.0,470.0,4693.0
8566331,2025-02-01,9,19,0.679,1225.0,64.5,64.5,14,19,1,464.0,464.0,8804.0
8566331,2025-03-01,10,21,0.677,1363.0,64.6,64.9,52,10,1,473.0,471.0,9928.0
8566331,2025-04-01,27,3,0.1,193.0,64.7,64.3,6,2,1,467.0,470.0,1403.0
8566331,2025-05-01,27,4,0.129,260.0,64.9,65.0,44,3,1,473.0,472.0,1891.0
8566331,2025-06-01,30,0,0.0,0.0,62.5,,,,1,,450.0,0.0
8566331,2025-07-01,31,0,0.0,0.0,59.3,,,,1,,427.0,0.0
8566331,2025-08-01,31,0,0.0,0.0,59.5,,,,1,,429.0,0.0
8566331,2025-09-01,30,0,0.0,0.0,59.1,,,,1,,426.0,0.0
8566331,2025-10-01,31,0,0.0,0.0,58.6,,,,1,,422.0,0.0
11534885,2024-11-01,11,19,0.633,667.0,34.7,35.1,25,20,,250.0,247.0,4751.0
11534885,2024-12-01,27,4,0.129,181.0,45.2,45.2,120,1,,327.0,327.0,1311.0
11534885,2025-01-01,25,6,0.194,238.0,42.5,39.7,57,5,,290.0,310.0,1737.0
11534885,2025-02-01,19,9,0.321,329.0,39.9,36.6,30,3,1,263.0,287.0,2364.0
11534885,2025-03-01,21,10,0.323,350.0,34.8,35.0,19,3,1,255.0,253.0,2549.0
11534885,2025-04-01,17,13,0.433,449.0,38.5,34.5,13,4,1,251.0,280.0,3264.0
11534885,2025-05-01,15,16,0.516,584.0,35.9,36.5,27,3,1,265.0,261.0,4246.0
11534885,2025-06-01,16,14,0.467,401.0,29.8,28.6,32,8,1,206.0,215.0,2889.0
11534885,2025-07-01,22,9,0.29,267.0,28.1,29.7,71,3,1,214.0,202.0,1924.0
11534885,2025-08-01,31,0,0.0,0.0,26.3,,,,1,,189.0,0.0
11534885,2025-09-01,30,0,0.0,0.0,29.7,,,,1,,214.0,0.0
11534885,2025-10-01,31,0,0.0,0.0,34.8,,,,1,,251.0,0.0
26999645,2024-11-01,24,6,0.2,246.0,38.9,41.0,8,1,,292.0,277.0,1752.0
26999645,2024-12-01,19,12,0.387,445.0,37.2,37.1,62,4,,269.0,269.0,3223.0
26999645,2025-01-01,27,4,0.129,145.0,37.5,36.2,11,3,1,264.0,274.0,1058.0
26999645,2025-02-01,21,7,0.25,275.0,37.2,39.3,3,7,1,282.0,267.0,1976.0
26999645,2025-03-01,23,8,0.258,317.0,38.3,39.6,9,1,1,288.0,279.0,2309.0
26999645,2025-04-01,12,18,0.6,787.0,41.9,43.7,22,4,1,318.0,305.0,5722.0
26999645,2025-05-01,25,6,0.194,294.0,42.0,49.0,23,2,1,356.0,305.0,2138.0
26999645,2025-06-01,26,4,0.133,142.0,37.8,35.5,25,4,1,256.0,272.0,1023.0
26999645,2025-07-01,31,0,0.0,0.0,35.1,,,,1,,253.0,0.0
26999645,2025-08-01,31,0,0.0,0.0,37.5,,,,1,,270.0,0.0
26999645,2025-09-01,30,0,0.0,0.0,39.6,,,,1,,285.0,0.0
26999645,2025-10-01,30,1,0.032,45.0,39.0,45.0,139,1,1,324.0,281.0,324.0
16469059,2024-11-01,27,3,0.1,188.0,66.8,62.7,3,2,,447.0,476.0,1339.0
