listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
3174898,2024-11-01,21,9,0.3,2804.0,328.8,311.6,28,3,,312.0,329.0,2804.0
3174898,2024-12-01,15,16,0.516,7229.0,441.8,451.8,19,3,,452.0,442.0,7229.0
3174898,2025-01-01,14,17,0.548,7035.0,412.8,413.8,23,2,2,414.0,413.0,7035.0
3174898,2025-02-01,1,27,0.964,11096.0,411.0,411.0,33,5,2,411.0,411.0,11096.0
3174898,2025-03-01,4,27,0.871,11977.0,444.5,443.6,29,2,2,444.0,445.0,11977.0
3174898,2025-04-01,7,23,0.767,8352.0,377.3,363.1,20,5,2,363.0,377.0,8352.0
3174898,2025-05-01,12,19,0.613,8845.0,441.0,465.5,29,4,2,466.0,441.0,8845.0
3174898,2025-06-01,24,6,0.2,2815.0,385.7,469.2,8,3,2,469.0,386.0,2815.0
3174898,2025-07-01,21,10,0.323,3204.0,324.3,320.4,4,3,2,320.0,324.0,3204.0
3174898,2025-08-01,31,0,0.0,0.0,291.8,,,,2,,292.0,0.0
3174898,2025-09-01,24,6,0.2,1835.0,298.5,305.8,37,6,2,306.0,299.0,1835.0
3174898,2025-10-01,15,16,0.516,5896.0,356.3,368.5,21,3,1,369.0,356.0,5896.0
14320635,2024-11-01,23,7,0.233,1263.0,178.8,180.4,38,2,,180.0,179.0,1263.0
14320635,2024-12-01,11,20,0.645,3538.0,176.2,176.9,74,5,1,177.0,176.0,3538.0
14320635,2025-01-01,17,14,0.452,2572.0,180.9,183.7,64,2,1,184.0,181.0,2572.0
14320635,2025-02-01,5,23,0.821,4120.0,179.4,179.1,37,4,1,179.0,179.0,4120.0
14320635,2025-03-01,4,27,0.871,4716.0,174.8,174.7,47,2,1,175.0,175.0,4716.0
14320635,2025-04-01,21,9,0.3,1537.0,168.0,170.8,17,4,1,171.0,168.0,1537.0
14320635,2025-05-01,4,27,0.871,5176.0,195.0,191.7,37,6,1,192.0,195.0,5176.0
14320635,2025-06-01,10,20,0.667,4732.0,225.9,236.6,7,3,1,237.0,226.0,4732.0
14320635,2025-07-01,7,24,0.774,5407.0,222.9,225.3,33,8,1,225.0,223.0,5407.0
14320635,2025-08-01,25,6,0.194,1123.0,169.1,187.2,32,1,1,187.0,169.0,1123.0
14320635,2025-09-01,22,8,0.267,1245.0,135.4,155.6,43,2,1,156.0,135.0,1245.0
14320635,2025-10-01,28,3,0.097,511.0,174.2,170.3,27,2,1,170.0,174.0,511.0
13347204,2024-11-01,30,0,0.0,0.0,125.8,,,,,,126.0,0.0
