listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
4540451,2024-11-01,29,1,0.033,385.0,391.5,385.0,1,1,,385.0,392.0,385.0
4540451,2024-12-01,29,2,0.065,769.0,388.5,384.5,1,1,7,385.0,389.0,769.0
4540451,2025-01-01,31,0,0.0,0.0,387.3,,,,7,,387.0,0.0
4540451,2025-02-01,18,10,0.357,3757.0,378.8,375.7,351,10,7,376.0,379.0,3757.0
4540451,2025-03-01,19,12,0.387,4607.0,392.6,383.9,30,12,7,384.0,393.0,4607.0
4540451,2025-04-01,17,13,0.433,5164.0,401.9,397.2,1,28,10,397.0,402.0,5164.0
4540451,2025-05-01,12,19,0.613,7448.0,392.0,392.0,1,1,7,392.0,392.0,7448.0
4540451,2025-06-01,16,14,0.467,5130.0,368.9,366.4,5,2,7,366.0,369.0,5130.0
4540451,2025-07-01,23,8,0.258,2865.0,357.4,358.1,1,1,7,358.0,357.0,2865.0
4540451,2025-08-01,26,5,0.161,1791.0,353.5,358.2,1,1,7,358.0,354.0,1791.0
4540451,2025-09-01,29,1,0.033,355.0,332.7,355.0,1,1,7,355.0,333.0,355.0
4540451,2025-10-01,30,1,0.032,329.0,345.9,329.0,1,1,7,329.0,346.0,329.0
956845,2024-11-01,30,0,0.0,0.0,301.8,,,,,,302.0,0.0
956845,2024-12-01,18,13,0.419,3396.0,285.8,261.2,1,18,,261.0,286.0,3396.0
956845,2025-01-01,10,21,0.677,5011.0,249.4,238.6,19,4,3,239.0,249.0,5011.0
956845,2025-02-01,2,26,0.929,7531.0,290.4,289.7,39,3,2,290.0,290.0,7531.0
956845,2025-03-01,3,28,0.903,12811.0,461.1,457.5,25,4,2,458.0,461.0,12811.0
956845,2025-04-01,2,28,0.933,10487.0,374.6,374.5,86,10,4,375.0,375.0,10487.0
956845,2025-05-01,10,21,0.677,7437.0,346.9,354.1,46,3,2,354.0,347.0,7437.0
956845,2025-06-01,1,29,0.967,10673.0,366.3,368.0,40,3,2,368.0,366.0,10673.0
956845,2025-07-01,7,24,0.774,7727.0,311.7,322.0,36,4,1,322.0,312.0,7727.0
956845,2025-08-01,16,15,0.484,4111.0,292.1,274.1,47,2,2,274.0,292.0,4111.0
956845,2025-09-01,30,0,0.0,0.0,290.8,,,,3,,291.0,0.0
956845,2025-10-01,30,1,0.032,329.0,244.9,329.0,25,2,2,329.0,245.0,329.0
4162173,2024-11-01,24,6,0.2,1254.0,205.8,209.0,116,6,,209.0,206.0,1254.0
4162173,2024-12-01,12,19,0.613,3962.0,206.9,208.5,103,3,3,209.0,207.0,3962.0
4162173,2025-01-01,6,25,0.806,5147.0,205.1,205.9,73,2,3,206.0,205.0,5147.0
4162173,2025-02-01,6,22,0.786,4485.0,203.6,203.9,130,4,3,204.0,204.0,4485.0
4162173,2025-03-01,4,27,0.871,5417.0,200.5,200.6,143,2,3,201.0,201.0,5417.0
4162173,2025-04-01,4,26,0.867,5293.0,203.4,203.6,49,3,3,204.0,203.0,5293.0
4162173,2025-05-01,7,24,0.774,5234.0,218.4,218.1,122,4,3,218.0,218.0,5234.0
4162173,2025-06-01,9,21,0.7,4511.0,215.3,214.8,52,4,3,215.0,215.0,4511.0
4162173,2025-07-01,12,19,0.613,4020.0,209.1,211.6,49,3,3,212.0,209.0,4020.0
4162173,2025-08-01,9,22,0.71,4527.0,206.2,205.8,20,3,3,206.0,206.0,4527.0
4162173,2025-09-01,9,21,0.7,4016.0,191.4,191.2,30,4,3,191.0,191.0,4016.0
4162173,2025-10-01,23,8,0.258,1833.0,223.7,229.1,15,2,3,229.0,224.0,1833.0
2584499,2024-11-01,29,1,0.033,94.0,90.3,94.0,218,8,,94.0,90.0,94.0
2584499,2024-12-01,16,15,0.484,1371.0,91.1,91.4,159,4,,91.0,91.0,1371.0
2584499,2025-01-01,29,2,0.065,193.0,97.0,96.5,161,1,,97.0,97.0,193.0
2584499,2025-02-01,28,0,0.0,0.0,99.0,,,,,,99.0,0.0
2584499,2025-03-01,31,0,0.0,0.0,100.7,,,,,,101.0,0.0
2584499,2025-04-01,30,0,0.0,0.0,98.8,,,,,,99.0,0.0
2584499,2025-05-01,31,0,0.0,0.0,96.6,,,,,,97.0,0.0
2584499,2025-06-01,25,5,0.167,416.0,85.8,83.2,2,5,,83.0,86.0,416.0
2584499,2025-07-01,31,0,0.0,0.0,81.9,,,,5,,82.0,0.0
2584499,2025-08-01,31,0,0.0,0.0,82.7,,,,5,,83.0,0.0
2584499,2025-09-01,30,0,0.0,0.0,82.9,,,,5,,83.0,0.0
2584499,2025-10-01,31,0,0.0,0.0,82.6,,,,5,,83.0,0.0
1896999,2024-11-01,2,28,0.933,8815.0,314.0,314.8,8,4,,315.0,314.0,8815.0
1896999,2024-12-01,0,31,1.0,9904.0,319.5,319.5,16,4,1,320.0,320.0,9904.0
1896999,2025-01-01,14,17,0.548,5358.0,311.0,315.2,9,6,1,315.0,311.0,5358.0
1896999,2025-02-01,4,24,0.857,8402.0,343.0,350.1,13,4,1,350.0,343.0,8402.0
1896999,2025-03-01,20,11,0.355,3453.0,307.1,313.9,3,3,1,314.0,307.0,3453.0
1896999,2025-04-01,1,29,0.967,9099.0,314.4,313.8,15,7,1,314.0,314.0,9099.0
1896999,2025-05-01,11,20,0.645,5322.0,260.8,266.1,6,4,1,266.0,261.0,5322.0
1896999,2025-06-01,8,22,0.733,6741.0,300.1,306.4,11,4,1,306.0,300.0,6741.0
1896999,2025-07-01,14,17,0.548,4005.0,236.4,235.6,6,2,1,236.0,236.0,4005.0
1896999,2025-08-01,8,23,0.742,5170.0,221.3,224.8,21,3,1,225.0,221.0,5170.0
1896999,2025-09-01,7,23,0.767,3771.0,160.4,164.0,27,3,1,164.0,160.0,3771.0
1896999,2025-10-01,2,29,0.935,5435.0,186.2,187.4,13,4,1,187.0,186.0,5435.0
5620429,2024-11-01,20,10,0.333,3060.0,294.5,306.0,121,4,,306.0,295.0,3060.0
5620429,2024-12-01,9,22,0.71,7629.0,344.9,346.8,95,2,,347.0,345.0,7629.0
5620429,2025-01-01,5,26,0.839,10650.0,409.1,409.6,40,12,2,410.0,409.0,10650.0
5620429,2025-02-01,2,26,0.929,10681.0,410.9,410.8,111,5,2,411.0,411.0,10681.0
5620429,2025-03-01,1,30,0.968,11865.0,394.5,395.5,47,9,2,396.0,395.0,11865.0
5620429,2025-04-01,7,23,0.767,7207.0,310.4,313.3,42,3,2,313.0,310.0,7207.0
5620429,2025-05-01,9,22,0.71,6968.0,312.5,316.7,39,4,2,317.0,313.0,6968.0
5620429,2025-06-01,3,27,0.9,7751.0,290.5,287.1,78,5,2,287.0,291.0,7751.0
5620429,2025-07-01,4,27,0.871,6924.0,259.4,256.4,85,4,2,256.0,259.0,6924.0
5620429,2025-08-01,10,21,0.677,5562.0,248.8,264.9,66,5,2,265.0,249.0,5562.0
5620429,2025-09-01,9,21,0.7,4594.0,219.9,218.8,50,3,1,219.0,220.0,4594.0
5620429,2025-10-01,5,26,0.839,6453.0,242.2,248.2,66,4,2,248.0,242.0,6453.0
1270125,2024-11-01,26,4,0.133,8521.0,2305.7,2130.2,1,3,,2130.0,2306.0,8521.0
1270125,2024-12-01,20,11,0.355,35117.0,2995.2,3192.5,30,5,,3193.0,2995.0,35117.0
1270125,2025-01-01,24,7,0.226,22020.0,2905.1,3145.7,23,2,3,3146.0,2905.0,22020.0
1270125,2025-02-01,19,9,0.321,29781.0,3339.8,3309.0,3,5,3,3309.0,3340.0,29781.0
1270125,2025-03-01,14,17,0.548,45013.0,2598.1,2647.8,26,4,3,2648.0,2598.0,45013.0
1270125,2025-04-01,21,9,0.3,20313.0,2477.6,2257.0,44,2,3,2257.0,2478.0,20313.0
1270125,2025-05-01,20,11,0.355,28160.0,2263.9,2560.0,11,2,3,2560.0,2264.0,28160.0
1270125,2025-06-01,19,11,0.367,13266.0,1272.8,1206.0,66,3,2,1206.0,1273.0,13266.0
1270125,2025-07-01,15,16,0.516,20413.0,1344.8,1275.8,93,6,2,1276.0,1345.0,20413.0
1270125,2025-08-01,26,5,0.161,7383.0,1429.2,1476.6,116,2,2,1477.0,1429.0,7383.0
1270125,2025-09-01,29,1,0.033,1161.0,1150.1,1161.0,107,1,2,1161.0,1150.0,1161.0
1270125,2025-10-01,19,12,0.387,15818.0,1379.7,1318.2,86,4,2,1318.0,1380.0,15818.0
11038548,2024-11-01,27,3,0.1,540.0,187.2,180.0,123,1,,180.0,187.0,540.0
11038548,2024-12-01,27,4,0.129,829.0,196.5,207.2,43,4,1,207.0,197.0,829.0
11038548,2025-01-01,24,7,0.226,1367.0,202.5,195.3,25,2,1,195.0,203.0,1367.0
11038548,2025-02-01,19,9,0.321,1830.0,213.4,203.3,15,4,1,203.0,213.0,1830.0
11038548,2025-03-01,26,5,0.161,975.0,192.6,195.0,44,1,1,195.0,193.0,975.0
11038548,2025-04-01,28,2,0.067,427.0,206.2,213.5,1,2,1,214.0,206.0,427.0
11038548,2025-05-01,25,6,0.194,1011.0,166.5,168.5,9,3,1,169.0,167.0,1011.0
11038548,2025-06-01,18,12,0.4,2225.0,183.5,185.4,9,6,1,185.0,184.0,2225.0
11038548,2025-07-01,31,0,0.0,0.0,174.5,,,,1,,175.0,0.0
11038548,2025-08-01,31,0,0.0,0.0,189.2,,,,1,,189.0,0.0
11038548,2025-09-01,30,0,0.0,0.0,204.0,,,,1,,204.0,0.0
11038548,2025-10-01,31,0,0.0,0.0,209.7,,,,1,,210.0,0.0
3617159,2024-11-01,26,4,0.133,1924.0,481.4,481.0,80,4,,481.0,481.0,1924.0
3617159,2024-12-01,22,9,0.29,4513.0,497.9,501.4,105,9,,501.0,498.0,4513.0
3617159,2025-01-01,29,2,0.065,979.0,483.3,489.5,42,2,4,490.0,483.0,979.0
3617159,2025-02-01,10,18,0.643,8641.0,482.0,480.1,117,16,4,480.0,482.0,8641.0
3617159,2025-03-01,10,21,0.677,10070.0,477.4,479.5,35,4,4,480.0,477.0,10070.0
3617159,2025-04-01,20,10,0.333,4949.0,494.9,494.9,16,2,4,495.0,495.0,4949.0
3617159,2025-05-01,27,4,0.129,1840.0,472.8,460.0,44,4,4,460.0,473.0,1840.0
3617159,2025-06-01,30,0,0.0,0.0,475.5,,,,4,,476.0,0.0
3617159,2025-07-01,23,8,0.258,3558.0,441.8,444.8,16,4,4,445.0,442.0,3558.0
3617159,2025-08-01,19,12,0.387,4718.0,405.1,393.2,9,4,4,393.0,405.0,4718.0
3617159,2025-09-01,30,0,0.0,0.0,413.1,,,,4,,413.0,0.0
3617159,2025-10-01,31,0,0.0,0.0,465.9,,,,4,,466.0,0.0
2645703,2024-11-01,30,0,0.0,0.0,203.3,,,,,,203.0,0.0
2645703,2024-12-01,31,0,0.0,0.0,229.3,,,,,,229.0,0.0
2645703,2025-01-01,31,0,0.0,0.0,248.4,,,,4,,248.0,0.0
2645703,2025-02-01,20,8,0.286,1988.0,255.2,248.5,75,4,4,249.0,255.0,1988.0
2645703,2025-03-01,18,13,0.419,3223.0,246.2,247.9,29,4,4,248.0,246.0,3223.0
2645703,2025-04-01,9,21,0.7,4466.0,206.1,212.7,25,7,4,213.0,206.0,4466.0
2645703,2025-05-01,20,11,0.355,1644.0,146.9,149.5,30,3,4,150.0,147.0,1644.0
2645703,2025-06-01,30,0,0.0,0.0,152.8,,,,4,,153.0,0.0
2645703,2025-07-01,31,0,0.0,0.0,139.2,,,,4,,139.0,0.0
2645703,2025-08-01,24,7,0.226,928.0,133.7,132.6,64,7,4,133.0,134.0,928.0
2645703,2025-09-01,19,11,0.367,1850.0,162.1,168.2,10,5,4,168.0,162.0,1850.0
2645703,2025-10-01,16,15,0.484,2271.0,161.6,151.4,29,5,4,151.0,162.0,2271.0
2955703,2024-11-01,27,3,0.1,933.0,311.6,311.0,101,1,,311.0,312.0,933.0
2955703,2024-12-01,9,22,0.71,7085.0,318.3,322.0,35,13,4,322.0,318.0,7085.0
2955703,2025-01-01,20,11,0.355,3490.0,313.7,317.3,113,7,4,317.0,314.0,3490.0
2955703,2025-02-01,10,18,0.643,5591.0,308.2,310.6,28,9,4,311.0,308.0,5591.0
2955703,2025-03-01,11,20,0.645,6348.0,317.0,317.4,39,4,4,317.0,317.0,6348.0
2955703,2025-04-01,18,12,0.4,3880.0,323.2,323.3,48,6,4,323.0,323.0,3880.0
2955703,2025-05-01,16,15,0.484,5007.0,336.5,333.8,138,3,4,334.0,337.0,5007.0
2955703,2025-06-01,30,0,0.0,0.0,325.6,,,,4,,326.0,0.0
2955703,2025-07-01,31,0,0.0,0.0,288.7,,,,4,,289.0,0.0
2955703,2025-08-01,31,0,0.0,0.0,272.9,,,,4,,273.0,0.0
