listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
67428,2.5BR/3BA Condo + Gulf Views + Walk To Pier Park!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-67428/original/5cbacc94-63aa-448a-a787-d19abec5a46f.jpeg,33,332461,ILia,"","",true,30.2205,-85.8864,8,3,6,3.0,true,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Ceiling fan,Gym,Resort access,Outdoor furniture,Hot tub,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Blender,Pack ’n play/Travel crib,Room-darkening shades,Movie theater,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Exercise equipment,Patio or balcony,Long term stays allowed,Dining table,Arcade games,Sun loungers,Toaster",true,true,3,Moderate,USD,253,0,180,4.69,4.8,4.8,4.4,4.9,4.9,4.7,43268.0,43268.0,252.6,252.6,0.392,0.0,118.5,118.5,0.0,0.0,143,0,222,365,6989.0,6989.0,239.5,239.5,0.3,0.0,77.7,77.7,0.0,0.0,27,0,63,90
562362,"Splash Resort and water park, newly renovated!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c7abf0b9-8978-4693-94ea-db1e3e4872e2.jpg,28,2765694,Warren,"","",false,30.2322,-85.9106,8,3,5,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Ceiling fan,Gym,Elevator,Outdoor furniture,Hot tub,Heating,Paid parking on premises,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Iron,Outdoor dining area,Freezer,Bathtub,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Exercise equipment,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Toaster",false,,6,Strict,USD,175,0,39,4.77,4.9,4.8,4.5,4.9,4.9,4.7,25484.0,25484.0,373.8,373.8,0.156,0.0,69.8,69.8,0.0,0.0,57,0,308,365,0.0,0.0,382.3,382.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
591134,2BR 2BA Bunk Splash Oceanfront FREE 2 beach chairs,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-591134/original/853b0472-83c7-4ff8-b621-b7daed2a344a.jpeg,43,2886023,Edwin,"","",false,30.2328,-85.9114,6,2,5,2.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Hot water,Gym,Elevator,Bed linens,Hot tub,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Beach essentials,Essentials,Long term stays allowed,Shampoo,Dining table,Hair dryer,Iron,Freezer,Toaster",false,false,3,Strict,USD,200,0,21,4.52,4.5,4.8,4.3,4.4,4.8,4.4,49615.0,49615.0,262.5,262.5,0.449,0.573,135.9,135.9,173.5,173.5,164,79,201,365,19011.0,19011.0,350.1,350.1,0.611,0.0,211.2,211.2,0.0,0.0,55,0,35,90
834628,* Beautiful Two Kings Oceanfront! Prime Location,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-834628/original/93b00e3a-c8a5-4c80-afe6-edeb0efe1e9c.jpeg,56,2665757,Dean & Janie,"","",true,30.1809,-85.8140,6,2,3,2.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Ceiling fan,Gym,Resort access,Elevator,Outdoor furniture,Hot tub,Cleaning products,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Dining table,Baking sheet,Toaster",true,false,3,Firm,USD,135,0,473,4.89,4.9,5.0,4.8,5.0,4.9,4.9,94494.0,94494.0,287.4,287.4,0.879,0.0,258.9,258.9,0.0,0.0,321,0,44,365,18576.0,18576.0,225.8,225.8,0.911,0.0,206.4,206.4,0.0,0.0,82,0,8,90
950149,* Beautiful 2BR Oceanfront Resort! Prime Location,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-950149/original/aaf5f1bd-96d2-46f7-9786-ce3b89c4f62a.jpeg,51,2665757,Dean & Janie,"","",true,30.1809,-85.8140,6,2,4,2.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Ceiling fan,Gym,Resort access,Elevator,Outdoor furniture,Hot tub,Cleaning products,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Dining table,Baking sheet,Toaster",true,false,3,Firm,USD,120,0,514,4.85,4.8,5.0,4.7,5.0,4.9,4.8,89930.0,89930.0,274.6,274.6,0.866,0.0,246.4,246.4,0.0,0.0,316,0,49,365,16225.0,16225.0,211.2,211.2,0.844,0.0,180.3,180.3,0.0,0.0,76,0,14,90
1018382,2BR/2BA Gulf-front Condo Sleep 8;Pool on Beach;207,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAxODM4Mg%3D%3D/original/2eadaf63-9aeb-4455-872d-e08ba21b0238.jpeg,63,4669652,David Ross,"","",true,30.1659,-85.7888,8,2,4,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,BBQ grill,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance",false,false,2,Strict,USD,35,0,221,4.85,4.9,5.0,4.8,4.9,4.9,4.8,60490.0,60490.0,246.0,246.0,0.622,0.0,165.7,165.7,0.0,0.0,227,0,138,365,11026.0,11026.0,212.4,212.4,0.567,0.0,122.5,122.5,0.0,0.0,51,0,39,90
1144114,2BR GulfView Townhouse;Dogs OK-8212,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/cc39a4ec-8f53-4044-837b-46f1b6e33b13.jpg,35,4669652,David Ross,"","",true,30.1637,-85.7850,6,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance",false,false,2,Strict,USD,70,0,242,4.79,4.9,4.9,4.8,5.0,5.0,4.9,48860.0,48860.0,208.3,208.3,0.608,0.62,133.9,133.9,136.5,136.5,222,7,143,365,9596.0,9596.0,193.8,193.8,0.544,0.0,106.6,106.6,0.0,0.0,49,0,41,90
1233345,Spacious Oceanfront 3BR Condo With Huge Balcony!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/9ec509ad-48d0-4cef-bc1f-a4aa57002a7f.jpg,40,332461,ILia,"","",true,30.1407,-85.7542,10,3,7,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Ceiling fan,Gym,Elevator,Free street parking,Outdoor furniture,Hot tub,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Patio or balcony,Long term stays allowed,Dining table,Sun loungers,Toaster",true,false,3,Moderate,USD,271,0,137,4.8,4.8,4.9,4.4,4.9,4.9,4.8,55563.0,55563.0,349.7,349.7,0.386,0.464,152.2,152.2,182.8,182.8,141,61,224,365,9599.0,9599.0,292.7,292.7,0.356,0.0,106.7,106.7,0.0,0.0,32,0,58,90
1806058,"Master Bedroom with Gulf View,",Entire condo,entire_home,https://a0.muscache.com/im/pictures/30710322/2f9e13b9_original.jpg,45,1896487,Jose,"","",true,30.2201,-85.8854,4,2,4,2.0,true,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Smoke alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron",true,false,3,Firm,USD,180,0,214,4.64,4.8,4.7,4.4,4.7,4.9,4.7,41535.0,41535.0,214.6,214.6,0.466,0.0,113.8,113.8,0.0,0.0,170,0,195,365,13780.0,13780.0,214.6,214.6,0.711,0.0,153.1,153.1,0.0,0.0,64,0,26,90
1838735,1113: Beachfront Resort Condo w/Parking. HUGE pool,Entire condo,entire_home,https://a0.muscache.com/im/pictures/3cbe0340-17e6-4f85-8177-f94fa11fa30e.jpg,40,9611043,Andrew,"","",false,30.1768,-85.8047,6,2,4,2.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Gym,Conditioner,Elevator,Trash compactor,Hot tub,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Bathtub,Blender,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Long term stays allowed,Baking sheet,Toaster",false,false,1,Firm,USD,175,0,116,4.63,4.8,4.9,4.7,4.9,4.9,4.6,18362.0,18362.0,210.4,210.4,0.222,0.0,50.3,50.3,0.0,0.0,81,0,284,365,3058.0,3058.0,208.1,208.1,0.178,0.0,34.0,34.0,0.0,0.0,16,0,74,90
