listing_id,date,num_reviews,reviewers
17861586,2025-07-01,2,"398914051,188150437"
17861586,2025-05-01,1,495026135
17861586,2025-03-01,1,446335756
17861586,2025-08-01,3,"389499448,335392025,83979944"
17861586,2025-06-01,1,499897002
17861586,2025-04-01,4,"247707441,251663885,687244845,94506296"
6601656,2025-09-01,3,"351528327,716946895,463288489"
6601656,2025-07-01,1,267913290
6601656,2025-03-01,4,"389970447,492562209,149692620,440502526"
6601656,2024-11-01,1,174126877
6601656,2025-08-01,1,390528652
6601656,2025-06-01,5,"388616468,177997890,242429518,443848603,437890170"
6601656,2025-04-01,3,"687412017,107903613,453517701"
4417949,2025-07-01,5,"445720793,322994507,184619190,388200063,414124746"
4417949,2025-03-01,4,"394702307,551160467,471673263,305744120"
4417949,2024-11-01,4,"190164673,142102422,422363584,452513087"
4417949,2025-06-01,3,"178316668,463606018,211690119"
4417949,2025-02-01,1,655995180
4417949,2025-09-01,4,"380344303,374688607,192140624,348946440"
4417949,2025-05-01,5,"504225662,175070291,366386770,394072852,452444554"
4417949,2025-01-01,2,"407970543,490944021"
4417949,2025-08-01,5,"313108111,209563206,333297453,246436088,428375763"
4417949,2025-04-01,7,"390677792,340202772,143216392,407549841,58089541,449318670,180075644"
11690401,2025-07-01,1,87071489
11690401,2025-05-01,1,418191951
11690401,2025-03-01,4,"464576683,682121931,579326741,483439981"
11690401,2025-06-01,2,"482647462,116322679"
11690401,2025-04-01,2,"158048221,399431886"
12948856,2025-09-01,1,349060767
12948856,2025-07-01,1,65404581
12948856,2025-05-01,1,347431928
12948856,2025-03-01,4,"457492978,684661500,682255123,130616495"
12948856,2025-01-01,1,85651338
12948856,2025-06-01,1,505130414
12948856,2025-04-01,3,"581389628,480341727,198853376"
12948856,2025-02-01,1,583732527
12948856,2024-12-01,2,"477321843,298210675"
1018382,2025-07-01,2,"490936040,702135877"
1018382,2025-03-01,6,"372839564,341637563,172728546,316328384,315245589,352069015"
1018382,2024-11-01,1,208483748
1018382,2025-06-01,1,308814794
1018382,2025-09-01,2,"568787112,59616956"
1018382,2025-05-01,2,"694331039,277793350"
1018382,2025-01-01,1,504684781
1018382,2025-04-01,4,"269352562,422776268,184476631,95454259"
1018382,2024-12-01,1,668785952
17099642,2025-07-01,5,"285649364,241263428,63397163,221860572,52276692"
17099642,2025-06-01,3,"31234189,533881180,402101726"
17099642,2025-05-01,1,79047022
17099642,2025-04-01,2,"502609451,528557919"
17099642,2025-03-01,5,"537746893,517799695,495944035,449113779,272241189"
17099642,2025-01-01,1,342460998
4966889,2025-07-01,1,189818652
4966889,2025-05-01,2,"495174692,679998501"
4966889,2025-03-01,1,558550229
4966889,2025-10-01,1,330716045
4966889,2025-08-01,3,"387578119,677440351,290493826"
4966889,2025-04-01,1,412841889
3653826,2025-09-01,1,584542147
3653826,2025-08-01,1,339596784
3653826,2025-06-01,1,429965363
3653826,2025-05-01,1,565696373
11639057,2024-11-01,1,369527038
10521008,2025-07-01,1,390271068
15161750,2025-07-01,2,"698981981,114080309"
15161750,2025-05-01,2,"680992768,460891389"
15161750,2025-08-01,1,505750608
15161750,2025-06-01,2,"692645585,347447700"
15161750,2025-04-01,1,423208532
16113515,2025-09-01,1,29031260
16113515,2025-07-01,3,"177914233,317887720,463875552"
16113515,2025-01-01,1,199085380
16113515,2025-03-01,5,"560148006,424059356,406094933,449127211,392398013"
16113515,2025-08-01,2,"514348533,704199435"
16113515,2025-06-01,2,"216959436,697385704"
16113515,2025-04-01,2,"73007548,182392768"
14802056,2025-04-01,1,151524163
